,day,q
341,2020-03-01,7732498.0
342,2020-03-02,8491991.0
343,2020-03-03,8490385.0
344,2020-03-04,8823340.0
345,2020-03-05,8777799.0
346,2020-03-06,9070657.0
347,2020-03-07,8926657.0
348,2020-03-08,9887329.0
349,2020-03-09,10312779.0
350,2020-03-10,11338822.0
351,2020-03-11,11785624.0
352,2020-03-12,11907505.0
353,2020-03-13,11663769.0
354,2020-03-14,9604396.0
355,2020-03-15,5712947.0
356,2020-03-16,7128855.0
357,2020-03-17,4597655.0
358,2020-03-18,2686644.0
359,2020-03-19,2578413.0
360,2020-03-20,2467430.0
361,2020-03-21,1538412.0
362,2020-03-22,1317253.0
363,2020-03-23,2626471.0
364,2020-03-24,2639000.0
365,2020-03-25,2535737.0
366,2020-03-26,2658531.0
367,2020-03-27,2771269.0
368,2020-03-28,1705416.0
369,2020-03-29,711339.0
370,2020-03-30,1979870.0
371,2020-03-31,2164252.0
